week_start_date,platform,campaign,impression_share,overlap_rate,position_above_rate,top_of_page_rate,absolute_top_rate,outranking_share,lost_is_rank,lost_is_budget,top_competitor
2026-06-01,Google Ads,Brand Search,0.507,0.316,0.444,0.58,0.237,0.534,0.227,0.099,AT&T
2026-06-01,Google Ads,Business Fiber,0.507,0.343,0.42,0.623,0.244,0.49,0.195,0.102,Comcast Business
2026-06-01,Google Ads,SD-WAN,0.539,0.369,0.487,0.63,0.259,0.481,0.195,0.092,Lumen
2026-06-01,Google Ads,UCaaS,0.531,0.375,0.421,0.58,0.257,0.519,0.219,0.097,Verizon
2026-06-01,Google Ads,Managed Security,0.56,0.316,0.409,0.603,0.234,0.482,0.207,0.091,Lumen
2026-06-01,Google Ads,Enterprise Voice,0.515,0.331,0.419,0.599,0.242,0.482,0.213,0.107,AT&T
2026-06-01,Google Ads,Remarketing,0.533,0.37,0.435,0.633,0.273,0.524,0.23,0.099,Spectrum Business
2026-06-08,Google Ads,Brand Search,0.511,0.328,0.481,0.63,0.266,0.522,0.174,0.099,AT&T
2026-06-08,Google Ads,Business Fiber,0.517,0.346,0.471,0.555,0.248,0.521,0.185,0.108,Comcast Business
2026-06-08,Google Ads,SD-WAN,0.574,0.363,0.433,0.583,0.256,0.502,0.229,0.099,Lumen
2026-06-08,Google Ads,UCaaS,0.51,0.36,0.423,0.637,0.268,0.535,0.201,0.093,Verizon
2026-06-08,Google Ads,Managed Security,0.525,0.327,0.43,0.563,0.264,0.469,0.208,0.095,Lumen
2026-06-08,Google Ads,Enterprise Voice,0.507,0.357,0.438,0.561,0.233,0.463,0.217,0.099,AT&T
2026-06-08,Google Ads,Remarketing,0.514,0.359,0.41,0.614,0.26,0.509,0.226,0.115,Spectrum Business
2026-06-15,Google Ads,Brand Search,0.576,0.37,0.473,0.629,0.247,0.47,0.184,0.114,AT&T
2026-06-15,Google Ads,Business Fiber,0.523,0.378,0.449,0.594,0.24,0.515,0.191,0.089,Comcast Business
2026-06-15,Google Ads,SD-WAN,0.567,0.366,0.43,0.632,0.271,0.475,0.181,0.095,Lumen
2026-06-15,Google Ads,UCaaS,0.555,0.333,0.438,0.552,0.257,0.466,0.179,0.094,Verizon
2026-06-15,Google Ads,Managed Security,0.539,0.369,0.426,0.621,0.258,0.475,0.171,0.111,Lumen
2026-06-15,Google Ads,Enterprise Voice,0.553,0.354,0.46,0.583,0.257,0.491,0.201,0.1,AT&T
2026-06-15,Google Ads,Remarketing,0.516,0.324,0.484,0.571,0.249,0.502,0.174,0.11,Spectrum Business
2026-06-22,Google Ads,Brand Search,0.515,0.352,0.468,0.577,0.243,0.506,0.22,0.105,AT&T
2026-06-22,Google Ads,Business Fiber,0.559,0.349,0.485,0.56,0.265,0.466,0.226,0.091,Comcast Business
2026-06-22,Google Ads,SD-WAN,0.511,0.341,0.469,0.631,0.238,0.505,0.226,0.097,Lumen
2026-06-22,Google Ads,UCaaS,0.51,0.382,0.414,0.622,0.252,0.466,0.188,0.113,Verizon
2026-06-22,Google Ads,Managed Security,0.523,0.328,0.472,0.592,0.23,0.502,0.185,0.104,Lumen
2026-06-22,Google Ads,Enterprise Voice,0.562,0.377,0.42,0.569,0.245,0.489,0.198,0.105,AT&T
2026-06-22,Google Ads,Remarketing,0.536,0.34,0.433,0.647,0.241,0.473,0.23,0.098,Spectrum Business
2026-06-29,Google Ads,Brand Search,0.539,0.358,0.456,0.573,0.263,0.521,0.196,0.107,AT&T
2026-06-29,Google Ads,Business Fiber,0.588,0.343,0.47,0.646,0.255,0.48,0.228,0.098,Comcast Business
2026-06-29,Google Ads,SD-WAN,0.552,0.331,0.482,0.554,0.266,0.539,0.188,0.094,Lumen
2026-06-29,Google Ads,UCaaS,0.567,0.38,0.419,0.556,0.243,0.482,0.203,0.102,Verizon
2026-06-29,Google Ads,Managed Security,0.518,0.372,0.413,0.59,0.271,0.489,0.205,0.092,Lumen
2026-06-29,Google Ads,Enterprise Voice,0.571,0.373,0.467,0.607,0.27,0.518,0.218,0.09,AT&T
2026-06-29,Google Ads,Remarketing,0.558,0.32,0.41,0.626,0.242,0.484,0.214,0.102,Spectrum Business
2026-07-06,Google Ads,Brand Search,0.578,0.331,0.464,0.61,0.226,0.493,0.222,0.111,AT&T
2026-07-06,Google Ads,Business Fiber,0.574,0.353,0.418,0.6,0.236,0.491,0.188,0.086,Comcast Business
2026-07-06,Google Ads,SD-WAN,0.51,0.357,0.45,0.573,0.239,0.519,0.194,0.098,Lumen
2026-07-06,Google Ads,UCaaS,0.541,0.318,0.441,0.56,0.25,0.471,0.175,0.102,Verizon
2026-07-06,Google Ads,Managed Security,0.574,0.349,0.464,0.571,0.256,0.47,0.178,0.102,Lumen
2026-07-06,Google Ads,Enterprise Voice,0.571,0.338,0.488,0.561,0.259,0.48,0.174,0.108,AT&T
2026-07-06,Google Ads,Remarketing,0.543,0.317,0.432,0.647,0.256,0.488,0.189,0.103,Spectrum Business
2026-07-13,Google Ads,Brand Search,0.593,0.372,0.423,0.588,0.263,0.495,0.179,0.086,AT&T
2026-07-13,Google Ads,Business Fiber,0.581,0.38,0.483,0.631,0.226,0.469,0.173,0.113,Comcast Business
2026-07-13,Google Ads,SD-WAN,0.567,0.33,0.453,0.572,0.251,0.469,0.197,0.086,Lumen
2026-07-13,Google Ads,UCaaS,0.529,0.364,0.407,0.608,0.258,0.499,0.214,0.089,Verizon
2026-07-13,Google Ads,Managed Security,0.51,0.358,0.41,0.615,0.225,0.474,0.187,0.109,Lumen
2026-07-13,Google Ads,Enterprise Voice,0.54,0.375,0.407,0.635,0.257,0.482,0.221,0.105,AT&T
2026-07-13,Google Ads,Remarketing,0.526,0.337,0.483,0.603,0.234,0.49,0.229,0.088,Spectrum Business
2026-07-20,Google Ads,Brand Search,0.55,0.332,0.453,0.584,0.245,0.497,0.226,0.086,AT&T
2026-07-20,Google Ads,Business Fiber,0.52,0.332,0.493,0.6,0.266,0.488,0.191,0.104,Comcast Business
2026-07-20,Google Ads,SD-WAN,0.561,0.317,0.455,0.579,0.233,0.53,0.223,0.109,Lumen
2026-07-20,Google Ads,UCaaS,0.585,0.382,0.46,0.612,0.236,0.513,0.175,0.096,Verizon
2026-07-20,Google Ads,Managed Security,0.527,0.338,0.454,0.572,0.232,0.472,0.228,0.112,Lumen
2026-07-20,Google Ads,Enterprise Voice,0.554,0.364,0.452,0.565,0.275,0.524,0.222,0.094,AT&T
2026-07-20,Google Ads,Remarketing,0.592,0.337,0.455,0.643,0.231,0.472,0.226,0.113,Spectrum Business
2026-07-27,Google Ads,Brand Search,0.534,0.377,0.442,0.591,0.247,0.53,0.214,0.108,AT&T
2026-07-27,Google Ads,Business Fiber,0.588,0.37,0.415,0.57,0.263,0.532,0.226,0.093,Comcast Business
2026-07-27,Google Ads,SD-WAN,0.56,0.331,0.467,0.586,0.259,0.481,0.204,0.092,Lumen
2026-07-27,Google Ads,UCaaS,0.548,0.341,0.482,0.599,0.232,0.5,0.206,0.106,Verizon
2026-07-27,Google Ads,Managed Security,0.523,0.334,0.442,0.623,0.274,0.463,0.216,0.085,Lumen
2026-07-27,Google Ads,Enterprise Voice,0.487,0.376,0.449,0.583,0.248,0.326,0.406,0.115,AT&T
