date,platform,channel,campaign,campaign_type,impressions,clicks,spend,conversions,conversion_value,monthly_budget
2026-06-01,Google Ads,Paid Search,Brand Search,Brand,19858,1513,3254.16,185,37956.48,112000
2026-06-01,Google Ads,Paid Search,Business Fiber,Non-Brand,45887,2384,8686.13,152,43548.9,279000
2026-06-01,Google Ads,Paid Search,SD-WAN,Non-Brand,28829,1154,6045.23,70,31843.43,218000
2026-06-01,Google Ads,Paid Search,UCaaS,Non-Brand,33630,1308,5936.71,97,36959.88,197000
2026-06-01,Google Ads,Paid Search,Managed Security,Non-Brand,26763,955,5640.13,53,30643.01,176000
2026-06-01,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20042,769,4059.08,48,24390.05,149000
2026-06-01,Google Ads,Display,Remarketing,Remarketing,74027,1060,3192.1,78,23042.93,97000
2026-06-02,Google Ads,Paid Search,Brand Search,Brand,20146,1665,3705.97,232,46667.16,112000
2026-06-02,Google Ads,Paid Search,Business Fiber,Non-Brand,47402,2262,8363.46,141,40421.8,279000
2026-06-02,Google Ads,Paid Search,SD-WAN,Non-Brand,29723,1141,6138.66,75,33465.97,218000
2026-06-02,Google Ads,Paid Search,UCaaS,Non-Brand,33631,1306,5740.7,99,40354.69,197000
2026-06-02,Google Ads,Paid Search,Managed Security,Non-Brand,26702,904,5547.32,50,27437.77,176000
2026-06-02,Google Ads,Paid Search,Enterprise Voice,Non-Brand,22826,926,5121.01,56,29142.16,149000
2026-06-02,Google Ads,Display,Remarketing,Remarketing,75781,1032,2951.67,67,19517.12,97000
2026-06-03,Google Ads,Paid Search,Brand Search,Brand,18527,1548,3533.28,193,39262.35,112000
2026-06-03,Google Ads,Paid Search,Business Fiber,Non-Brand,43880,2285,8647.05,141,41321.63,279000
2026-06-03,Google Ads,Paid Search,SD-WAN,Non-Brand,30484,1190,6602.72,83,36811.49,218000
2026-06-03,Google Ads,Paid Search,UCaaS,Non-Brand,31890,1339,6031.63,86,32867.58,197000
2026-06-03,Google Ads,Paid Search,Managed Security,Non-Brand,23921,848,5236.12,50,26299.56,176000
2026-06-03,Google Ads,Paid Search,Enterprise Voice,Non-Brand,20190,848,4675.79,54,28205.44,149000
2026-06-03,Google Ads,Display,Remarketing,Remarketing,65045,931,2842.92,63,18406.5,97000
2026-06-04,Google Ads,Paid Search,Brand Search,Brand,19296,1484,3242.81,191,39861.0,112000
2026-06-04,Google Ads,Paid Search,Business Fiber,Non-Brand,45957,2243,8525.71,136,42559.69,279000
2026-06-04,Google Ads,Paid Search,SD-WAN,Non-Brand,31063,1217,6789.27,80,34746.34,218000
2026-06-04,Google Ads,Paid Search,UCaaS,Non-Brand,33798,1357,6277.84,96,36324.44,197000
2026-06-04,Google Ads,Paid Search,Managed Security,Non-Brand,24089,803,5022.17,52,29387.49,176000
2026-06-04,Google Ads,Paid Search,Enterprise Voice,Non-Brand,19376,741,4228.35,47,22704.27,149000
2026-06-04,Google Ads,Display,Remarketing,Remarketing,68390,916,2820.29,65,18674.38,97000
2026-06-05,Google Ads,Paid Search,Brand Search,Brand,17505,1407,3023.57,196,38926.19,112000
2026-06-05,Google Ads,Paid Search,Business Fiber,Non-Brand,38513,1933,7515.18,118,34723.88,279000
2026-06-05,Google Ads,Paid Search,SD-WAN,Non-Brand,29476,1197,6541.24,77,33431.95,218000
2026-06-05,Google Ads,Paid Search,UCaaS,Non-Brand,28879,1136,5159.27,75,29261.25,197000
2026-06-05,Google Ads,Paid Search,Managed Security,Non-Brand,21500,762,4450.29,49,28129.7,176000
2026-06-05,Google Ads,Paid Search,Enterprise Voice,Non-Brand,17341,675,3777.95,37,18005.14,149000
2026-06-05,Google Ads,Display,Remarketing,Remarketing,68289,963,2880.6,68,21083.52,97000
2026-06-06,Google Ads,Paid Search,Brand Search,Brand,9671,742,1622.22,95,18903.38,112000
2026-06-06,Google Ads,Paid Search,Business Fiber,Non-Brand,24232,1233,4910.62,74,21856.16,279000
2026-06-06,Google Ads,Paid Search,SD-WAN,Non-Brand,15406,639,3423.62,39,17241.94,218000
2026-06-06,Google Ads,Paid Search,UCaaS,Non-Brand,17271,676,2963.94,51,20400.16,197000
2026-06-06,Google Ads,Paid Search,Managed Security,Non-Brand,14138,497,2849.76,33,18625.43,176000
2026-06-06,Google Ads,Paid Search,Enterprise Voice,Non-Brand,11589,483,2750.96,26,13219.77,149000
2026-06-06,Google Ads,Display,Remarketing,Remarketing,35267,489,1401.84,32,10053.46,97000
2026-06-07,Google Ads,Paid Search,Brand Search,Brand,9793,806,1764.51,103,21518.43,112000
2026-06-07,Google Ads,Paid Search,Business Fiber,Non-Brand,25228,1268,4925.3,77,22523.86,279000
2026-06-07,Google Ads,Paid Search,SD-WAN,Non-Brand,16998,685,3785.15,46,19891.43,218000
2026-06-07,Google Ads,Paid Search,UCaaS,Non-Brand,17726,709,3304.08,46,19350.07,197000
2026-06-07,Google Ads,Paid Search,Managed Security,Non-Brand,12467,423,2559.94,26,14030.18,176000
2026-06-07,Google Ads,Paid Search,Enterprise Voice,Non-Brand,10124,421,2255.56,25,12733.6,149000
2026-06-07,Google Ads,Display,Remarketing,Remarketing,36482,515,1548.6,38,10919.28,97000
2026-06-08,Google Ads,Paid Search,Brand Search,Brand,20097,1566,3408.73,210,41169.76,112000
2026-06-08,Google Ads,Paid Search,Business Fiber,Non-Brand,43313,2220,8076.01,143,45002.75,279000
2026-06-08,Google Ads,Paid Search,SD-WAN,Non-Brand,32584,1248,6665.65,76,35898.33,218000
2026-06-08,Google Ads,Paid Search,UCaaS,Non-Brand,35425,1471,6531.94,96,39641.95,197000
2026-06-08,Google Ads,Paid Search,Managed Security,Non-Brand,26346,932,5867.01,58,30105.64,176000
2026-06-08,Google Ads,Paid Search,Enterprise Voice,Non-Brand,21624,848,4738.04,54,26071.69,149000
2026-06-08,Google Ads,Display,Remarketing,Remarketing,66218,891,2686.1,57,17265.65,97000
2026-06-09,Google Ads,Paid Search,Brand Search,Brand,20676,1605,3578.46,198,39623.62,112000
2026-06-09,Google Ads,Paid Search,Business Fiber,Non-Brand,48877,2528,9216.28,162,47393.36,279000
2026-06-09,Google Ads,Paid Search,SD-WAN,Non-Brand,28584,1174,6547.45,72,33142.55,218000
2026-06-09,Google Ads,Paid Search,UCaaS,Non-Brand,34628,1375,5884.55,88,36581.78,197000
2026-06-09,Google Ads,Paid Search,Managed Security,Non-Brand,27940,982,6091.39,60,31740.29,176000
