date,platform,campaign,keyword,match_type,impressions,clicks,spend,conversions,conversion_value
2026-07-31,Google Ads,Brand Search,connectwave,Exact,8752,710,1493.28,84,17281.69
2026-07-31,Google Ads,Brand Search,connectwave communications,Phrase,5233,425,892.94,50,10333.99
2026-07-31,Google Ads,Brand Search,connectwave login,Exact,3532,287,602.73,34,6975.31
2026-07-31,Google Ads,Business Fiber,business fiber internet,Phrase,19717,1002,3910.02,64,19832.65
2026-07-31,Google Ads,Business Fiber,fiber internet for business,Phrase,12255,623,2430.22,40,12326.73
2026-07-31,Google Ads,Business Fiber,dedicated fiber connection,Broad,10521,535,2086.41,34,10582.82
2026-07-31,Google Ads,SD-WAN,sd-wan provider,Phrase,8107,331,1731.14,21,9466.89
2026-07-31,Google Ads,SD-WAN,sd-wan solutions,Phrase,5720,233,1221.34,15,6678.99
2026-07-31,Google Ads,SD-WAN,managed sd-wan,Broad,4814,196,1028.03,13,5621.87
2026-07-31,Google Ads,UCaaS,ucaas provider,Phrase,11631,473,2250.08,33,13182.77
2026-07-31,Google Ads,UCaaS,cloud phone system,Phrase,11277,459,2181.6,32,12781.58
2026-07-31,Google Ads,UCaaS,business voip solutions,Broad,7539,307,1458.59,21,8545.59
2026-07-31,Google Ads,Managed Security,managed security services,Phrase,8237,290,1653.87,17,9387.03
2026-07-31,Google Ads,Managed Security,network security provider,Phrase,6567,231,1318.5,14,7483.55
2026-07-31,Google Ads,Managed Security,endpoint security business,Broad,6701,236,1345.41,14,7636.28
2026-07-31,Google Ads,Enterprise Voice,enterprise voice solutions,Phrase,8399,320,2150.81,19,10008.22
2026-07-31,Google Ads,Enterprise Voice,sip trunking provider,Phrase,6611,252,1692.95,15,7877.7
2026-07-31,Google Ads,Enterprise Voice,business phone systems,Broad,5202,198,1331.99,12,6198.07
2026-08-01,Google Ads,Brand Search,connectwave,Exact,4988,412,884.54,52,10325.05
2026-08-01,Google Ads,Brand Search,connectwave communications,Phrase,2985,246,529.25,31,6177.74
2026-08-01,Google Ads,Brand Search,connectwave login,Exact,2042,168,362.02,21,4225.74
2026-08-01,Google Ads,Business Fiber,business fiber internet,Phrase,10605,534,2127.37,33,10001.63
2026-08-01,Google Ads,Business Fiber,fiber internet for business,Phrase,6574,331,1318.82,20,6200.31
2026-08-01,Google Ads,Business Fiber,dedicated fiber connection,Broad,6011,303,1205.8,19,5668.98
2026-08-01,Google Ads,SD-WAN,sd-wan provider,Phrase,5171,210,1196.51,14,6132.71
2026-08-01,Google Ads,SD-WAN,sd-wan solutions,Phrase,3811,155,881.75,10,4519.42
2026-08-01,Google Ads,SD-WAN,managed sd-wan,Broad,2984,121,690.49,8,3539.07
2026-08-01,Google Ads,UCaaS,ucaas provider,Phrase,7129,287,1300.96,18,7001.29
2026-08-01,Google Ads,UCaaS,cloud phone system,Phrase,5837,235,1065.2,15,5732.49
2026-08-01,Google Ads,UCaaS,business voip solutions,Broad,4245,171,774.69,11,4169.1
2026-08-01,Google Ads,Managed Security,managed security services,Phrase,5439,189,1166.96,11,6538.44
2026-08-01,Google Ads,Managed Security,network security provider,Phrase,3859,134,827.98,8,4639.16
2026-08-01,Google Ads,Managed Security,endpoint security business,Broad,3871,135,830.4,8,4652.73
